model,context_variant,custom_id,bump_bc_failure_category,bump_bc_errors_raw,bump_bc_errors,llm_detected_errors,matched_errors,missed_errors,new_errors,bump_total,llm_total,matched_count,missed_count,new_count,match_rate_%,num_failed_tests
Qwen-480B,Class,BBC06,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,AssertionError|ClassNotFoundException|EOFException|InvocationTargetException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,AssertionError|EOFException|InvocationTargetException,2,5,2,0,3,100,99
Qwen-480B,Class,BBC07,TEST_FAILURE,MojoFailureException,,,,,,0,0,0,0,0,0,2
Qwen-480B,Class,BBC17,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,,,2,2,2,0,0,100,106
Qwen-480B,Class,BBC27,TEST_FAILURE,java.lang.NoClassDefFoundError|java.io.IOException|java.lang.Exception|chat.tamtam.botapi.exceptions.APIException|java.lang.ClassNotFoundException|MojoFailureException,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,,,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,,5,0,0,5,0,0,2
Qwen-480B,Class,BBC33,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,1
Qwen-480B,Class,BBC36,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,101
Qwen-480B,Class,BBC42,TEST_FAILURE,java.lang.NoClassDefFoundError|HecAckPollerTest.addWithTimeoutError|IndexerTest.sendWithCloseError|IndexerTest.sendWithIOError|IndexerTest.sendWithReadError|java.lang.Exception|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|Exception|NoClassDefFoundError|addWithTimeoutError|sendWithCloseError|sendWithIOError|sendWithReadError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,Exception|addWithTimeoutError|sendWithCloseError|sendWithIOError|sendWithReadError,,7,2,2,5,0,28.6,2
Qwen-480B,Class,BBC49,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,InvocationTargetException|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,,InvocationTargetException,2,3,2,0,1,100,97
Qwen-480B,Class,BBC50,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.RuntimeException|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError|RuntimeException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,RuntimeException,,3,2,2,1,0,66.7,1
Qwen-480B,Class,BBC54,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,,,ClassNotFoundException|NoClassDefFoundError,,2,0,0,2,0,0,1
Qwen-480B,Class,BBC56,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,1
Qwen-480B,Class,BBC72,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,AssertionFailedError|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,,AssertionFailedError,2,3,2,0,1,100,49
Qwen-480B,Class,BBC73,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,AssertionFailedError|ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,AssertionFailedError,2,3,2,0,1,100,47
Qwen-480B,Class,BBC131,TEST_FAILURE,java.lang.ClassCastException|MojoFailureException,ClassCastException,AssertionFailedError,,ClassCastException,AssertionFailedError,1,1,0,1,1,0,1
Qwen-480B,Class,BBC132,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,,,2,2,2,0,0,100,100
Qwen-480B,Class,BBC145,TEST_FAILURE,java.lang.UnsupportedOperationException|java.lang.ExceptionInInitializerError|java.io.InvalidClassException|MojoFailureException,ExceptionInInitializerError|InvalidClassException|UnsupportedOperationException,,,ExceptionInInitializerError|InvalidClassException|UnsupportedOperationException,,3,0,0,3,0,0,1
Qwen-480B,Class,BBC146,TEST_FAILURE,java.lang.NoClassDefFoundError|java.io.IOException|java.lang.Exception|chat.tamtam.botapi.exceptions.APIException|java.lang.ClassNotFoundException|MojoFailureException,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,APIException|Exception|IOException,,5,2,2,3,0,40,2
Qwen-480B,Class,BBC150,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,9
Qwen-480B,Class,BBC162,TEST_FAILURE,java.lang.ClassCastException|MojoFailureException,ClassCastException,AssertionFailedError,,ClassCastException,AssertionFailedError,1,1,0,1,1,0,1
Qwen-480B,Class,BBC165,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|InvocationTargetException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,InvocationTargetException,2,3,2,0,1,100,104
GPT-OSS-120b,Minimal,BBC49,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,NoSuchMethodError,NoSuchMethodError,NoClassDefFoundError,,2,1,1,1,0,50,1
GPT-OSS-120b,Minimal,BBC72,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,,,2,2,2,0,0,100,1
GPT-OSS-120b,Minimal,BBC73,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,5
GPT-OSS-120b,Minimal,BBC145,TEST_FAILURE,java.lang.UnsupportedOperationException|java.lang.ExceptionInInitializerError|java.io.InvalidClassException|MojoFailureException,ExceptionInInitializerError|InvalidClassException|UnsupportedOperationException,,,ExceptionInInitializerError|InvalidClassException|UnsupportedOperationException,,3,0,0,3,0,0,1
GPT-OSS-120b,Method,BBC06,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,5
GPT-OSS-120b,Method,BBC17,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,AssertionError|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,,AssertionError,2,3,2,0,1,100,9
GPT-OSS-120b,Method,BBC36,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|InvocationTargetException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,InvocationTargetException,2,3,2,0,1,100,14
GPT-OSS-120b,Method,BBC49,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,,,2,2,2,0,0,100,7
GPT-OSS-120b,Method,BBC72,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,AssertionFailedError|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,,AssertionFailedError,2,3,2,0,1,100,8
GPT-OSS-120b,Method,BBC73,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,AssertionFailedError|ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,AssertionFailedError,2,3,2,0,1,100,11
GPT-OSS-120b,Method,BBC132,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,,,2,2,2,0,0,100,11
GPT-OSS-120b,Method,BBC165,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,13
GPT-OSS-120b,Class,BBC06,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,9
GPT-OSS-120b,Class,BBC07,TEST_FAILURE,MojoFailureException,,,,,,0,0,0,0,0,0,1
GPT-OSS-120b,Class,BBC17,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,,,2,2,2,0,0,100,3
GPT-OSS-120b,Class,BBC36,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,10
GPT-OSS-120b,Class,BBC49,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,,,2,2,2,0,0,100,5
GPT-OSS-120b,Class,BBC72,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,AssertionFailedError|NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,,AssertionFailedError,2,3,2,0,1,100,16
GPT-OSS-120b,Class,BBC73,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,AssertionFailedError|ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,AssertionFailedError,2,3,2,0,1,100,11
GPT-OSS-120b,Class,BBC132,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.NoSuchMethodError|MojoFailureException,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,NoClassDefFoundError|NoSuchMethodError,,,2,2,2,0,0,100,6
GPT-OSS-120b,Class,BBC146,TEST_FAILURE,java.lang.NoClassDefFoundError|java.io.IOException|java.lang.Exception|chat.tamtam.botapi.exceptions.APIException|java.lang.ClassNotFoundException|MojoFailureException,APIException|ClassNotFoundException|Exception|IOException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,APIException|Exception|IOException,,5,2,2,3,0,40,1
GPT-OSS-120b,Class,BBC165,TEST_FAILURE,java.lang.NoClassDefFoundError|java.lang.ClassNotFoundException|MojoFailureException,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,ClassNotFoundException|NoClassDefFoundError,,,2,2,2,0,0,100,7
